[Mon Jan 17 00:59:55.844818 2022] [:error] [pid 27488:tid 1316] [client ::1:57352] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:04:15.284998 2022] [:error] [pid 27488:tid 1316] [client ::1:57597] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:04:15.296978 2022] [:error] [pid 27488:tid 1316] [client ::1:57597] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:05:39.317335 2022] [:error] [pid 27488:tid 1316] [client ::1:57685] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 46
[Mon Jan 17 01:08:01.824354 2022] [:error] [pid 27488:tid 1316] [client ::1:57741] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:08:34.334705 2022] [:error] [pid 27488:tid 1316] [client ::1:57744] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48
[Mon Jan 17 01:08:38.048611 2022] [:error] [pid 27488:tid 1316] [client ::1:57744] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48
[Mon Jan 17 01:08:39.812645 2022] [:error] [pid 27488:tid 1316] [client ::1:57744] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48
[Mon Jan 17 01:13:26.490000 2022] [:error] [pid 27488:tid 1316] [client ::1:57841] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:13:26.495583 2022] [:error] [pid 27488:tid 1316] [client ::1:57841] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 48, referer: http://localhost:8080/adicionarplanta.php
